,x,y,x_std,y_std
0,1.0,44.66850280761719,0.0,0.0
1,3.0,45.70623016357422,0.0,0.0
2,5.0,46.332489013671875,0.0,0.0
3,7.0,46.655460357666016,0.0,0.0
4,9.0,47.01872634887695,0.0,0.0
5,11.0,47.45933532714844,0.0,0.0
6,13.0,48.12665939331055,0.0,0.0
7,15.0,48.48971176147461,0.0,0.0
8,17.0,49.12690734863281,0.0,0.0
9,19.0,49.951454162597656,0.0,0.0
10,21.0,50.48434066772461,0.0,0.0
11,23.0,50.694156646728516,0.0,0.0
12,25.0,51.25301742553711,0.0,0.0
13,27.0,51.87762451171875,0.0,0.0
14,29.0,52.48028564453125,0.0,0.0
15,31.0,53.15563201904297,0.0,0.0
16,33.0,53.25446701049805,0.0,0.0
17,35.0,53.80912780761719,0.0,0.0
18,37.0,54.38347244262695,0.0,0.0
19,39.0,54.86899185180664,0.0,0.0
20,41.0,55.256900787353516,0.0,0.0
21,43.0,56.00270462036133,0.0,0.0
22,45.0,56.60045623779297,0.0,0.0
23,47.0,57.0322380065918,0.0,0.0
24,49.0,57.47564697265625,0.0,0.0
25,51.0,58.74294662475586,0.0,0.0
26,53.0,58.95222091674805,0.0,0.0
27,55.0,59.37887191772461,0.0,0.0
28,57.0,60.342628479003906,0.0,0.0
29,59.0,60.88561248779297,0.0,0.0
30,61.0,61.20400619506836,0.0,0.0
31,63.0,61.365501403808594,0.0,0.0
32,65.0,62.28266525268555,0.0,0.0
33,67.0,62.804893493652344,0.0,0.0
34,69.0,63.619930267333984,0.0,0.0
35,71.0,63.435367584228516,0.0,0.0
36,73.0,64.18601989746094,0.0,0.0
37,75.0,64.57423400878906,0.0,0.0
38,77.0,64.9715576171875,0.0,0.0
39,79.0,65.69011688232422,0.0,0.0
40,81.0,66.99740600585938,0.0,0.0
41,83.0,66.99740600585938,0.0,0.0
42,85.0,67.69071197509766,0.0,0.0
43,87.0,68.41336822509766,0.0,0.0
44,89.0,68.66122436523438,0.0,0.0
45,91.0,68.91270446777344,0.0,0.0
46,93.0,70.50443267822266,0.0,0.0
47,95.0,70.0924301147461,0.0,0.0
48,97.0,71.069580078125,0.0,0.0
49,99.0,71.65392303466797,0.0,0.0
