,time,kappa,x,y
0,1.0,0.966,-0.0,44.668503
1,3.0,0.926,0.00036900383,45.929188
2,5.0,0.904,0.000571956,46.66956
3,7.0,0.892,0.00068265677,47.088917
4,9.0,0.889,0.00071033224,47.195564
5,11.0,0.879,0.00080258306,47.55643
6,13.0,0.865,0.00093173434,48.07616
7,15.0,0.852,0.0010516606,48.57479
8,17.0,0.843,0.0011346865,48.929546
9,19.0,0.84,0.0011623618,49.049606
10,21.0,0.837,0.0011900368,49.170586
11,23.0,0.828,0.0012730627,49.539223
12,25.0,0.815,0.001392989,50.08739
13,27.0,0.805,0.0014852398,50.522377
14,29.0,0.799,0.0015405902,50.78921
15,31.0,0.794,0.0015867156,51.015057
16,33.0,0.787,0.0016512915,51.33671
17,35.0,0.776,0.0017527672,51.855644
18,37.0,0.768,0.0018265683,52.243916
19,39.0,0.76,0.0019003691,52.64182
20,41.0,0.757,0.0019280439,52.793606
21,43.0,0.752,0.0019741699,53.049816
22,45.0,0.745,0.0020387452,53.415493
23,47.0,0.742,0.0020664206,53.574783
24,49.0,0.736,0.002121771,53.898148
25,51.0,0.729,0.002186347,54.28376
26,53.0,0.722,0.0022509224,54.678753
27,55.0,0.717,0.0022970478,54.966885
28,57.0,0.712,0.0023431731,55.26021
29,59.0,0.709,0.0023708488,55.43877
30,61.0,0.702,0.002435424,55.86316
31,63.0,0.698,0.0024723243,56.110706
32,65.0,0.689,0.0025553503,56.68176
33,67.0,0.684,0.0026014757,57.007805
34,69.0,0.678,0.0026568267,57.407795
35,71.0,0.668,0.0027490775,58.096786
36,73.0,0.665,0.0027767525,58.30921
37,75.0,0.662,0.0028044279,58.524406
38,77.0,0.658,0.0028413283,58.815754
39,79.0,0.653,0.0028874537,59.187283
40,81.0,0.647,0.0029428042,59.64438
41,83.0,0.641,0.0029981548,60.114384
42,85.0,0.633,0.0030719554,60.76242
43,87.0,0.635,0.0030535054,60.598038
44,89.0,0.632,0.0030811804,60.84522
45,91.0,0.624,0.0031549812,61.522823
46,93.0,0.621,0.0031826566,61.784164
47,95.0,0.619,0.0032011066,61.960682
48,97.0,0.618,0.0032103322,62.049644
49,99.0,0.615,0.003238007,62.319386
50,101.0,0.608,0.003302583,62.96616
51,103.0,0.605,0.003330258,63.25114
52,105.0,0.603,0.0033487084,63.44384
53,107.0,0.598,0.003394834,63.93545
54,109.0,0.597,0.0034040587,64.035515
55,111.0,0.594,0.0034317344,64.33931
56,113.0,0.593,0.0034409594,64.441795
57,115.0,0.592,0.0034501841,64.54491
58,117.0,0.592,0.0034501841,64.54491
59,119.0,0.586,0.0035055345,65.17715
60,121.0,0.584,0.0035239852,65.39326
61,123.0,0.578,0.0035793355,66.05856
62,125.0,0.579,0.0035701105,65.945854
63,127.0,0.576,0.003597786,66.28626
64,129.0,0.574,0.003616236,66.51704
65,131.0,0.574,0.003616236,66.51704
66,133.0,0.572,0.0036346857,66.75099
67,135.0,0.568,0.0036715863,67.22877
68,137.0,0.567,0.003680812,67.35034
69,139.0,0.564,0.0037084867,67.72032
70,141.0,0.562,0.0037269373,67.97152
71,143.0,0.561,0.003736162,68.09851
72,145.0,0.557,0.0037730627,68.61614
73,147.0,0.555,0.0037915127,68.88095
74,149.0,0.553,0.003809963,69.149925
75,151.0,0.551,0.0038284129,69.42317
76,153.0,0.548,0.0038560883,69.841415
77,155.0,0.544,0.0038929884,70.41541
78,157.0,0.543,0.0039022136,70.56196
79,159.0,0.543,0.0039022136,70.56196
80,161.0,0.539,0.0039391145,71.16099
81,163.0,0.543,0.0039022136,70.56196
82,165.0,0.542,0.003911439,70.70977
83,167.0,0.538,0.0039483397,71.314064
84,169.0,0.536,0.003966789,71.62433
85,171.0,0.534,0.0039852397,71.94032
86,173.0,0.531,0.004012915,72.42543
87,175.0,0.526,0.00405904,73.265526
88,177.0,0.529,0.0040313653,72.756584
89,179.0,0.53,0.0040221405,72.59022
90,181.0,0.528,0.0040405905,72.92458
91,183.0,0.525,0.0040682657,73.43858
92,185.0,0.522,0.0040959404,73.96834
93,187.0,0.522,0.0040959404,73.96834
94,189.0,0.519,0.004123616,74.514854
95,191.0,0.518,0.0041328412,74.70092
96,193.0,0.516,0.004151291,75.07916
97,195.0,0.516,0.004151291,75.07916
98,197.0,0.512,0.004188191,75.861336
99,199.0,0.509,0.004215867,76.47203
100,201.0,0.51,0.004206642,76.266075
101,203.0,0.509,0.004215867,76.47203
102,205.0,0.508,0.0042250915,76.68045
103,207.0,0.506,0.004243542,77.104965
104,209.0,0.503,0.004271217,77.76182
105,211.0,0.504,0.004261992,77.54009
106,213.0,0.506,0.004243542,77.104965
107,215.0,0.508,0.0042250915,76.68045
108,217.0,0.507,0.0042343168,76.89141
109,219.0,0.5,0.004298893,78.44444
110,221.0,0.499,0.004308118,78.678055
111,223.0,0.502,0.004280443,77.986404
112,225.0,0.501,0.0042896676,78.213905
113,227.0,0.5,0.004298893,78.44444
114,229.0,0.498,0.004317343,78.91484
115,231.0,0.493,0.0043634684,80.14957
116,233.0,0.494,0.004354243,79.89553
117,235.0,0.495,0.004345018,79.645134
118,237.0,0.493,0.0043634684,80.14957
119,239.0,0.491,0.004381919,80.66901
120,241.0,0.489,0.004400369,81.20434
121,243.0,0.488,0.0044095935,81.47829
122,245.0,0.486,0.004428044,82.03941
123,247.0,0.484,0.004446494,82.61911
124,249.0,0.484,0.004446494,82.61911
125,251.0,0.485,0.0044372687,82.32685
126,253.0,0.488,0.0044095935,81.47829
127,255.0,0.489,0.004400369,81.20434
128,257.0,0.482,0.0044649444,83.21868
129,259.0,0.475,0.00452952,85.494995
130,261.0,0.478,0.0045018448,84.48307
131,263.0,0.477,0.0045110695,84.81393
132,265.0,0.473,0.0045479704,86.20355
133,267.0,0.476,0.0045202947,85.15116
134,269.0,0.479,0.0044926195,84.15832
135,271.0,0.477,0.0045110695,84.81393
136,273.0,0.475,0.00452952,85.494995
137,275.0,0.476,0.0045202947,85.15116
138,277.0,0.475,0.00452952,85.494995
139,279.0,0.475,0.00452952,85.494995
140,281.0,0.475,0.00452952,85.494995
141,283.0,0.475,0.00452952,85.494995
142,285.0,0.475,0.00452952,85.494995
143,287.0,0.476,0.0045202947,85.15116
144,289.0,0.475,0.00452952,85.494995
145,291.0,0.473,0.0045479704,86.20355
146,293.0,0.473,0.0045479704,86.20355
147,295.0,0.473,0.0045479704,86.20355
148,297.0,0.472,0.004557195,86.568825
149,299.0,0.471,0.004566421,86.94189
150,301.0,0.47,0.0045756456,87.323
151,303.0,0.472,0.004557195,86.568825
152,305.0,0.467,0.0046033203,88.51851
153,307.0,0.463,0.004640221,90.25039
154,309.0,0.465,0.004621771,89.363205
155,311.0,0.466,0.0046125455,88.93578
156,313.0,0.471,0.004566421,86.94189
157,315.0,0.466,0.0046125455,88.93578
158,317.0,0.466,0.0046125455,88.93578
159,319.0,0.462,0.0046494463,90.71133
160,321.0,0.464,0.004630996,89.8012
161,323.0,0.461,0.004658671,91.1846
162,325.0,0.459,0.004677121,92.17106
163,327.0,0.461,0.004658671,91.1846
164,329.0,0.462,0.0046494463,90.71133
165,331.0,0.46,0.0046678963,91.67095
166,333.0,0.462,0.0046494463,90.71133
167,335.0,0.459,0.004677121,92.17106
168,337.0,0.458,0.0046863463,92.68577
169,339.0,0.459,0.004677121,92.17106
170,341.0,0.456,0.0047047962,93.76249
171,343.0,0.456,0.0047047962,93.76249
172,345.0,0.451,0.004750922,96.78177
173,347.0,0.455,0.004714022,94.32654
174,349.0,0.457,0.004695572,93.21597
175,351.0,0.454,0.004723247,94.90915
176,353.0,0.453,0.004732472,95.51158
177,355.0,0.455,0.004714022,94.32654
178,357.0,0.456,0.0047047962,93.76249
179,359.0,0.456,0.0047047962,93.76249
180,361.0,0.455,0.004714022,94.32654
181,363.0,0.458,0.0046863463,92.68577
182,365.0,0.456,0.0047047962,93.76249
183,367.0,0.452,0.0047416976,96.13533
184,369.0,0.45,0.004760147,97.45278
185,371.0,0.453,0.004732472,95.51158
186,373.0,0.453,0.004732472,95.51158
187,375.0,0.452,0.0047416976,96.13533
188,377.0,0.451,0.004750922,96.78177
189,379.0,0.451,0.004750922,96.78177
190,381.0,0.45,0.004760147,97.45278
191,383.0,0.451,0.004750922,96.78177
192,385.0,0.454,0.004723247,94.90915
193,387.0,0.459,0.004677121,92.17106
194,389.0,0.456,0.0047047962,93.76249
195,391.0,0.454,0.004723247,94.90915
196,393.0,0.454,0.004723247,94.90915
197,395.0,0.449,0.0047693723,98.15023
198,397.0,0.446,0.004797047,100.424126
199,399.0,0.45,0.004760147,97.45278
200,401.0,0.446,0.004797047,100.424126
201,403.0,0.445,0.0048062727,101.25195
202,405.0,0.447,0.0047878227,99.63335
203,407.0,0.444,0.004815498,102.12029
204,409.0,0.451,0.004750922,96.78177
205,411.0,0.446,0.004797047,100.424126
206,413.0,0.447,0.0047878227,99.63335
207,415.0,0.444,0.004815498,102.12029
208,417.0,0.443,0.0048247227,103.03327
209,419.0,0.446,0.004797047,100.424126
210,421.0,0.446,0.004797047,100.424126
211,423.0,0.449,0.0047693723,98.15023
212,425.0,0.448,0.004778597,98.876236
213,427.0,0.451,0.004750922,96.78177
214,429.0,0.448,0.004778597,98.876236
215,431.0,0.447,0.0047878227,99.63335
216,433.0,0.447,0.0047878227,99.63335
217,435.0,0.442,0.0048339483,103.99589
218,437.0,0.443,0.0048247227,103.03327
219,439.0,0.443,0.0048247227,103.03327
220,441.0,0.444,0.004815498,102.12029
221,443.0,0.442,0.0048339483,103.99589
222,445.0,0.442,0.0048339483,103.99589
223,447.0,0.443,0.0048247227,103.03327
224,449.0,0.446,0.004797047,100.424126
225,451.0,0.441,0.0048431726,105.01355
226,453.0,0.442,0.0048339483,103.99589
227,455.0,0.444,0.004815498,102.12029
228,457.0,0.441,0.0048431726,105.01355
229,459.0,0.442,0.0048339483,103.99589
230,461.0,0.441,0.0048431726,105.01355
231,463.0,0.442,0.0048339483,103.99589
232,465.0,0.441,0.0048431726,105.01355
233,467.0,0.442,0.0048339483,103.99589
234,469.0,0.442,0.0048339483,103.99589
235,471.0,0.442,0.0048339483,103.99589
236,473.0,0.433,0.0049169734,116.34695
237,475.0,0.433,0.0049169734,116.34695
238,477.0,0.432,0.004926199,118.4474
239,479.0,0.434,0.004907749,114.46862
240,481.0,0.435,0.0048985234,112.76948
241,483.0,0.437,0.0048800735,109.79229
242,485.0,0.432,0.004926199,118.4474
243,487.0,0.434,0.004907749,114.46862
244,489.0,0.435,0.0048985234,112.76948
245,491.0,0.435,0.0048985234,112.76948
246,493.0,0.435,0.0048985234,112.76948
247,495.0,0.438,0.004870848,108.47179
248,497.0,0.436,0.0048892987,111.218704
249,499.0,0.438,0.004870848,108.47179
250,501.0,0.439,0.004861623,107.24276
251,503.0,0.437,0.0048800735,109.79229
252,505.0,0.438,0.004870848,108.47179
253,507.0,0.439,0.004861623,107.24276
254,509.0,0.437,0.0048800735,109.79229
255,511.0,0.436,0.0048892987,111.218704
256,513.0,0.442,0.0048339483,103.99589
257,515.0,0.44,0.004852398,106.09321
258,517.0,0.439,0.004861623,107.24276
259,519.0,0.439,0.004861623,107.24276
260,521.0,0.434,0.004907749,114.46862
261,523.0,0.439,0.004861623,107.24276
262,525.0,0.438,0.004870848,108.47179
263,527.0,0.437,0.0048800735,109.79229
264,529.0,0.434,0.004907749,114.46862
265,531.0,0.432,0.004926199,118.4474
266,533.0,0.437,0.0048800735,109.79229
267,535.0,0.432,0.004926199,118.4474
268,537.0,0.437,0.0048800735,109.79229
269,539.0,0.437,0.0048800735,109.79229
270,541.0,0.433,0.0049169734,116.34695
271,543.0,0.432,0.004926199,118.4474
272,545.0,0.436,0.0048892987,111.218704
273,547.0,0.433,0.0049169734,116.34695
274,549.0,0.436,0.0048892987,111.218704
275,551.0,0.436,0.0048892987,111.218704
276,553.0,0.438,0.004870848,108.47179
277,555.0,0.431,0.004935424,120.828865
278,557.0,0.429,0.0049538743,126.83147
279,559.0,0.429,0.0049538743,126.83147
280,561.0,0.435,0.0048985234,112.76948
281,563.0,0.43,0.0049446486,123.57848
282,565.0,0.433,0.0049169734,116.34695
283,567.0,0.434,0.004907749,114.46862
284,569.0,0.431,0.004935424,120.828865
285,571.0,0.43,0.0049446486,123.57848
286,573.0,0.431,0.004935424,120.828865
287,575.0,0.431,0.004935424,120.828865
288,577.0,0.43,0.0049446486,123.57848
289,579.0,0.43,0.0049446486,123.57848
290,581.0,0.43,0.0049446486,123.57848
291,583.0,0.43,0.0049446486,123.57848
292,585.0,0.432,0.004926199,118.4474
293,587.0,0.43,0.0049446486,123.57848
294,589.0,0.427,0.0049723242,135.9473
295,591.0,0.426,0.0049815495,143.1848
296,593.0,0.425,0.004990774,155.5586
297,595.0,0.423,0.0050092246,
298,597.0,0.425,0.004990774,155.5586
299,599.0,0.428,0.004963099,130.81306
300,601.0,0.426,0.0049815495,143.1848
301,603.0,0.427,0.0049723242,135.9473
302,605.0,0.429,0.0049538743,126.83147
303,607.0,0.427,0.0049723242,135.9473
304,609.0,0.423,0.0050092246,
305,611.0,0.426,0.0049815495,143.1848
306,613.0,0.424,0.005,inf
307,615.0,0.423,0.0050092246,
308,617.0,0.426,0.0049815495,143.1848
309,619.0,0.423,0.0050092246,
310,621.0,0.424,0.005,inf
311,623.0,0.422,0.00501845,
312,625.0,0.424,0.005,inf
313,627.0,0.423,0.0050092246,
314,629.0,0.421,0.0050276746,
315,631.0,0.423,0.0050092246,
316,633.0,0.421,0.0050276746,
317,635.0,0.422,0.00501845,
318,637.0,0.42,0.0050369,
319,639.0,0.424,0.005,inf
320,641.0,0.428,0.004963099,130.81306
321,643.0,0.43,0.0049446486,123.57848
322,645.0,0.43,0.0049446486,123.57848
323,647.0,0.432,0.004926199,118.4474
324,649.0,0.432,0.004926199,118.4474
325,651.0,0.431,0.004935424,120.828865
326,653.0,0.427,0.0049723242,135.9473
327,655.0,0.428,0.004963099,130.81306
328,657.0,0.429,0.0049538743,126.83147
329,659.0,0.428,0.004963099,130.81306
330,661.0,0.425,0.004990774,155.5586
331,663.0,0.424,0.005,inf
332,665.0,0.423,0.0050092246,
333,667.0,0.422,0.00501845,
334,669.0,0.418,0.00505535,
335,671.0,0.421,0.0050276746,
336,673.0,0.42,0.0050369,
337,675.0,0.42,0.0050369,
338,677.0,0.418,0.00505535,
339,679.0,0.42,0.0050369,
340,681.0,0.421,0.0050276746,
341,683.0,0.424,0.005,inf
342,685.0,0.425,0.004990774,155.5586
343,687.0,0.427,0.0049723242,135.9473
344,689.0,0.43,0.0049446486,123.57848
345,691.0,0.431,0.004935424,120.828865
346,693.0,0.432,0.004926199,118.4474
347,695.0,0.429,0.0049538743,126.83147
348,697.0,0.428,0.004963099,130.81306
349,699.0,0.426,0.0049815495,143.1848
350,701.0,0.421,0.0050276746,
351,703.0,0.418,0.00505535,
352,705.0,0.419,0.005046125,
353,707.0,0.419,0.005046125,
354,709.0,0.418,0.00505535,
355,711.0,0.42,0.0050369,
356,713.0,0.416,0.0050738,
357,715.0,0.414,0.0050922506,
358,717.0,0.417,0.005064575,
359,719.0,0.418,0.00505535,
360,721.0,0.417,0.005064575,
361,723.0,0.417,0.005064575,
362,725.0,0.416,0.0050738,
363,727.0,0.415,0.0050830254,
364,729.0,0.416,0.0050738,
365,731.0,0.417,0.005064575,
366,733.0,0.409,0.0051383763,
367,735.0,0.413,0.005101476,
368,737.0,0.415,0.0050830254,
369,739.0,0.418,0.00505535,
370,741.0,0.418,0.00505535,
371,743.0,0.419,0.005046125,
372,745.0,0.42,0.0050369,
373,747.0,0.422,0.00501845,
374,749.0,0.423,0.0050092246,
375,751.0,0.422,0.00501845,
376,753.0,0.421,0.0050276746,
377,755.0,0.422,0.00501845,
378,757.0,0.424,0.005,inf
379,759.0,0.422,0.00501845,
380,761.0,0.422,0.00501845,
381,763.0,0.42,0.0050369,
382,765.0,0.425,0.004990774,155.5586
383,767.0,0.424,0.005,inf
384,769.0,0.423,0.0050092246,
385,771.0,0.418,0.00505535,
386,773.0,0.422,0.00501845,
387,775.0,0.42,0.0050369,
388,777.0,0.42,0.0050369,
389,779.0,0.419,0.005046125,
390,781.0,0.42,0.0050369,
391,783.0,0.426,0.0049815495,143.1848
392,785.0,0.426,0.0049815495,143.1848
393,787.0,0.42,0.0050369,
394,789.0,0.419,0.005046125,
395,791.0,0.424,0.005,inf
396,793.0,0.425,0.004990774,155.5586
397,795.0,0.423,0.0050092246,
398,797.0,0.425,0.004990774,155.5586
399,799.0,0.423,0.0050092246,
400,801.0,0.422,0.00501845,
401,803.0,0.421,0.0050276746,
402,805.0,0.411,0.0051199254,
403,807.0,0.417,0.005064575,
404,809.0,0.417,0.005064575,
405,811.0,0.414,0.0050922506,
406,813.0,0.418,0.00505535,
