,x,y,x_std,y_std
0,1.0,44.668503,0.0,0.0
1,3.0,45.929188,0.0,0.0
2,5.0,46.66956,0.0,0.0
3,7.0,47.088917,0.0,0.0
4,9.0,47.195564,0.0,0.0
5,11.0,47.55643,0.0,0.0
6,13.0,48.07616,0.0,0.0
7,15.0,48.57479,0.0,0.0
8,17.0,48.929546,0.0,0.0
9,19.0,49.049606,0.0,0.0
10,21.0,49.170586,0.0,0.0
11,23.0,49.539223,0.0,0.0
12,25.0,50.08739,0.0,0.0
13,27.0,50.522377,0.0,0.0
14,29.0,50.78921,0.0,0.0
15,31.0,51.015057,0.0,0.0
16,33.0,51.33671,0.0,0.0
17,35.0,51.855644,0.0,0.0
18,37.0,52.243916,0.0,0.0
19,39.0,52.64182,0.0,0.0
20,41.0,52.793606,0.0,0.0
21,43.0,53.049816,0.0,0.0
22,45.0,53.415493,0.0,0.0
23,47.0,53.574783,0.0,0.0
24,49.0,53.898148,0.0,0.0
25,51.0,54.28376,0.0,0.0
26,53.0,54.678753,0.0,0.0
27,55.0,54.966885,0.0,0.0
28,57.0,55.26021,0.0,0.0
29,59.0,55.43877,0.0,0.0
30,61.0,55.86316,0.0,0.0
31,63.0,56.110706,0.0,0.0
32,65.0,56.68176,0.0,0.0
33,67.0,57.007805,0.0,0.0
34,69.0,57.407795,0.0,0.0
35,71.0,58.096786,0.0,0.0
36,73.0,58.30921,0.0,0.0
37,75.0,58.524406,0.0,0.0
38,77.0,58.815754,0.0,0.0
39,79.0,59.187283,0.0,0.0
40,81.0,59.64438,0.0,0.0
41,83.0,60.114384,0.0,0.0
42,85.0,60.76242,0.0,0.0
43,87.0,60.598038,0.0,0.0
44,89.0,60.84522,0.0,0.0
45,91.0,61.522823,0.0,0.0
46,93.0,61.784164,0.0,0.0
47,95.0,61.960682,0.0,0.0
48,97.0,62.049644,0.0,0.0
49,99.0,62.319386,0.0,0.0
50,101.0,62.96616,0.0,0.0
51,103.0,63.25114,0.0,0.0
52,105.0,63.44384,0.0,0.0
53,107.0,63.93545,0.0,0.0
54,109.0,64.035515,0.0,0.0
55,111.0,64.33931,0.0,0.0
56,113.0,64.441795,0.0,0.0
57,115.0,64.54491,0.0,0.0
58,117.0,64.54491,0.0,0.0
59,119.0,65.17715,0.0,0.0
60,121.0,65.39326,0.0,0.0
61,123.0,66.05856,0.0,0.0
62,125.0,65.945854,0.0,0.0
63,127.0,66.28626,0.0,0.0
64,129.0,66.51704,0.0,0.0
65,131.0,66.51704,0.0,0.0
66,133.0,66.75099,0.0,0.0
67,135.0,67.22877,0.0,0.0
68,137.0,67.35034,0.0,0.0
69,139.0,67.72032,0.0,0.0
70,141.0,67.97152,0.0,0.0
71,143.0,68.09851,0.0,0.0
72,145.0,68.61614,0.0,0.0
73,147.0,68.88095,0.0,0.0
74,149.0,69.149925,0.0,0.0
75,151.0,69.42317,0.0,0.0
76,153.0,69.841415,0.0,0.0
77,155.0,70.41541,0.0,0.0
78,157.0,70.56196,0.0,0.0
79,159.0,70.56196,0.0,0.0
