,V,t
0,76.0,10
1,80.5,11
2,86.0,12
3,92.5,13
4,100.5,14
5,109.0,15
6,119.0,16
7,130.0,17
8,144.0,18
9,160.0,19
10,182.0,20
11,196.0,21
12,205.0,22
13,213.0,23
14,221.0,24
15,229.0,25
16,235.0,26
17,244.0,27
18,251.0,28
19,257.0,29
20,264.0,30
21,269.0,31
22,276.0,32
