sec"    "mA"    "mV
15,608    0,000633250048849732    19,8309020996094
15,698    0,000633250048849732    19,8309020996094
15,789    0,00066873652394861    24,0116443634033
15,879    0,00066873652394861    24,0116443634033
15,969    0,000706126156728715    28,2711410522461
16,059    0,000706126156728715    28,2711410522461
16,149    0,000745101773645729    32,4518814086914
16,239    0,000745101773645729    32,4518814086914
16,329    0,000785703479778022    36,632625579834
16,419    0,000785703479778022    36,632625579834
16,509    0,000827533891424537    40,8133697509766
16,599    0,000827533891424537    40,8133697509766
16,689    0,000869800278451294    44,9941101074219
16,778    0,000869800278451294    44,9941101074219
16,868    0,000912027549929917    49,1748542785645
16,958    0,000912027549929917    49,1748542785645
17,048    0,000953619892243296    53,4343490600586
17,138    0,000953619892243296    53,4343490600586
17,228    0,000994261237792671    57,6150894165039
17,318    0,000994261237792671    57,6150894165039
17,408    0,00103331601712853    61,7170791625977
17,498    0,00103331601712853    61,7170791625977
17,588    0,00106971443165094    65,897819519043
17,678    0,00106971443165094    65,897819519043
17,768    0,00106971443165094    65,897819519043
17,858    0,00110274308826774    70,0785675048828
17,948    0,00110274308826774    70,0785675048828
18,038    0,00113228196278214    74,2593078613281
18,128    0,00113228196278214    74,2593078613281
18,218    0,00115821289364249    78,4400482177734
18,308    0,00115821289364249    78,4400482177734
18,398    0,00118037709034979    82,6207885742188
18,488    0,00118037709034979    82,6207885742188
18,578    0,00119877455290407    86,8012847900391
18,668    0,00119877455290407    86,8012847900391
18,758    0,00121289002709091    90,9032745361328
18,848    0,00121289002709091    90,9032745361328
18,938    0,00122260383795947    95,0840148925781
19,027    0,00122260383795947    95,0840148925781
19,117    0,00122914626263082    99,2647552490234
19,207    0,00122914626263082    99,2647552490234
19,297    0,00123271462507546    103,445495605469
19,387    0,00123271462507546    103,445495605469
19,477    0,00123330939095467    107,626243591309
19,567    0,00123330939095467    107,626243591309
19,657    0,0012313270708546    111,727973937988
19,747    0,0012313270708546    111,727973937988
19,837    0,00122716394253075    115,908721923828
19,927    0,00122716394253075    115,908721923828
20,017    0,00122141477186233    120,089462280273
20,107    0,00122141477186233    120,089462280273
20,197    0,00121407909318805    124,191200256348
20,287    0,00121407909318805    124,191200256348
20,377    0,00120543560478836    128,371948242188
20,467    0,00120543560478836    128,371948242188
20,557    0,00119595928117633    132,552688598633
20,647    0,00119595928117633    132,552688598633
20,737    0,00118632463272661    136,654678344727
20,827    0,00118632463272661    136,654678344727
20,917    0,00118632463272661    136,654678344727
21,007    0,00117664993740618    140,835418701172
21,097    0,00117664993740618    140,835418701172
21,187    0,00116669805720448    145,016159057617
21,277    0,00116669805720448    145,016159057617
21,367    0,00115682533942163    149,117889404297
21,457    0,00115682533942163    149,117889404297
21,547    0,00114703178405762    153,219879150391
21,637    0,00114703178405762    153,219879150391
21,727    0,00113747583236545    157,400619506836
21,817    0,00113747583236545    157,400619506836
21,907    0,00112855469342321    161,502365112305
21,997    0,00112855469342321    161,502365112305
22,087    0,00112026801798493    165,68310546875
22,177    0,00112026801798493    165,68310546875
22,268    0,00111249648034573    169,78483581543
22,357    0,00111249648034573    169,78483581543
22,447    0,00110492378007621    173,965576171875
22,537    0,00110492378007621    173,965576171875
22,627    0,00109814340248704    178,067565917969
22,717    0,00109814340248704    178,067565917969
22,807    0,00109191820956767    182,248321533203
22,897    0,00109191820956767    182,248321533203
22,987    0,00108589150477201    186,350051879883
23,077    0,00108589150477201    186,350051879883
23,167    0,00108061847276986    190,452041625977
23,257    0,00108061847276986    190,452041625977
23,347    0,00107621727511287    194,632781982422
23,437    0,00107621727511287    194,632781982422
23,527    0,00107264891266823    198,734512329102
23,616    0,00107264891266823    198,734512329102
23,706    0,00106911966577172    202,83625793457
23,796    0,00106911966577172    202,83625793457
23,886    0,0010659476974979    206,938247680664
23,976    0,0010659476974979    206,938247680664
24,066    0,0010659476974979    206,938247680664
24,156    0,00106348982080817    211,118988037109
24,246    0,00106348982080817    211,118988037109
24,336    0,00106095219962299    215,220718383789
24,426    0,00106095219962299    215,220718383789
24,516    0,00105896941386163    219,322708129883
24,606    0,00105896941386163    219,322708129883
24,696    0,00105789897497743    223,424453735352
24,786    0,00105789897497743    223,424453735352
24,876    0,00105686823371798    227,526443481445
24,966    0,00105686823371798    227,526443481445
25,056    0,00105571816675365    231,706924438477
25,145    0,00105571816675365    231,706924438477
25,235    0,00105500465724617    235,80891418457
25,325    0,00105500465724617    235,80891418457
25,415    0,00105472700670362    239,910659790039
25,505    0,00105472700670362    239,910659790039
25,594    0,0010548853315413    244,012649536133
25,684    0,0010548853315413    244,012649536133
25,774    0,00105520256329328    248,114379882813
25,864    0,00105520256329328    248,114379882813
25,954    0,00105551979504526    252,216369628906
26,044    0,00105551979504526    252,216369628906
26,134    0,00105595623608679    256,318115234375
26,224    0,00105595623608679    256,318115234375
26,314    0,001056551001966    260,420104980469
26,403    0,001056551001966    260,420104980469
26,493    0,00105766102205962    264,521820068359
26,583    0,00105766102205962    264,521820068359
26,673    0,00105857301969081    268,623565673828
26,762    0,00105857301969081    268,623565673828
26,852    0,00105908862315118    272,725555419922
26,942    0,00105908862315118    272,725555419922
27,032    0,00105908862315118    272,725555419922
27,122    0,00105908862315118    272,725555419922
27,212    0,00105908862315118    272,725555419922
27,302    0,00106154649984092    280,929260253906
27,392    0,00106154649984092    280,929260253906
27,482    0,00106293451972306    285,031005859375
27,572    0,00106293451972306    285,031005859375
27,662    0,00106452056206763    289,132995605469
27,752    0,00106452056206763    289,132995605469
27,842    0,00106654246337712    293,234741210938
27,932    0,00106654246337712    293,234741210938
28,022    0,0010688821785152    297,336456298828
28,112    0,0010688821785152    297,336456298828
28,202    0,00107141968328506    301,359436035156
28,292    0,00107141968328506    301,359436035156
28,382    0,00107379839755595    305,46142578125
28,472    0,00107379839755595    305,46142578125
28,562    0,00107625685632229    309,563171386719
28,652    0,00107625685632229    309,563171386719
28,742    0,00107915117405355    313,665161132813
28,832    0,00107915117405355    313,665161132813
28,922    0,0010822043986991    317,766906738281
29,012    0,0010822043986991    317,766906738281
29,102    0,00108577276114374    321,789886474609
29,192    0,00108577276114374    321,789886474609
29,282    0,00108973798342049    325,891876220703
29,372    0,00108973798342049    325,891876220703
29,462    0,00109370262362063    329,993621826172
29,552    0,00109370262362063    329,993621826172
29,642    0,00109739031177014    334,095336914063
29,732    0,00109739031177014    334,095336914063
29,822    0,00110103783663362    338,118316650391
29,912    0,00110103783663362    338,118316650391
30,002    0,00110524101182818    342,220306396484
30,092    0,00110524101182818    342,220306396484
30,182    0,00110972137190402    346,243286132813
30,272    0,00110972137190402    346,243286132813
30,362    0,00110972137190402    346,243286132813
30,452    0,00111404282506555    350,345031738281
30,542    0,00111404282506555    350,345031738281
30,632    0,00111848360393196    354,368011474609
30,722    0,00111848360393196    354,368011474609
30,812    0,00112304359208792    358,470001220703
30,902    0,00112304359208792    358,470001220703
30,992    0,00112764269579202    362,571746826172
31,082    0,00112764269579202    362,571746826172
31,172    0,00113240070641041    366,5947265625
31,262    0,00113240070641041    366,5947265625
31,352    0,00113747583236545    370,696472167969
31,442    0,00113747583236545    370,696472167969
31,532    0,00114286819007248    374,719451904297
31,623    0,00114286819007248    374,719451904297
31,713    0,00114830059465021    378,821441650391
31,803    0,00114830059465021    378,821441650391
31,892    0,00115401018410921    382,844421386719
31,982    0,00115401018410921    382,844421386719
32,072    0,00115995726082474    386,867401123047
32,162    0,00115995726082474    386,867401123047
32,252    0,00116610329132527    390,969146728516
32,342    0,00116610329132527    390,969146728516
32,432    0,00117256597150117    394,992126464844
32,522    0,00117256597150117    394,992126464844
32,612    0,00117914786096662    399,015106201172
32,702    0,00117914786096662    399,015106201172
32,792    0,00118561112321913    403,116851806641
32,886    0,00118561112321913    403,116851806641
32,975    0,00108525715768337    405,720001220703
33,063    0,00108525715768337    405,720001220703
33,151    0,000923367450013757    403,984649658203
33,239    0,000923367450013757    403,984649658203
33,328    0,000923367450013757    403,984649658203
33,416    0,000836336228530854    399,330627441406
33,504    0,000836336228530854    399,330627441406
33,593    0,00078720977762714    394,597595214844
33,681    0,00078720977762714    394,597595214844
33,769    0,000750652980059385    390,022583007813
33,857    0,000750652980059385    390,022583007813
33,946    0,00072091567562893    385,368560791016
34,034    0,00072091567562893    385,368560791016
34,123    0,000695341441314667    380,793304443359
34,211    0,000695341441314667    380,793304443359
34,3    0,000672622059937567    376,218292236328
34,388    0,000672622059937567    376,218292236328
34,477    0,000652043847367167    371,643035888672
34,565    0,000652043847367167    371,643035888672
34,653    0,000633250048849732    367,067993164063
34,742    0,000633250048849732    367,067993164063
34,83    0,000616002129390836    362,571746826172
34,918    0,000616002129390836    362,571746826172
35,007    0,000599944381974638    357,996490478516
35,095    0,000599944381974638    357,996490478516
35,184    0,00058463925961405    353,500213623047
35,272    0,00058463925961405    353,500213623047
35,36    0,00058463925961405    353,500213623047
35,448    0,000570127391256392    349,003967285156
35,536    0,000570127391256392    349,003967285156
35,625    0,00055597280152142    344,428955078125
35,713    0,00055597280152142    344,428955078125
35,801    0,000542214023880661    339,932678222656
35,89    0,000542214023880661    339,932678222656
35,978    0,000529050652403384    335,436431884766
36,066    0,000529050652403384    335,436431884766
36,155    0,000516441941726953    330,940155029297
36,243    0,000516441941726953    330,940155029297
36,331    0,000504784809891135    326,443908691406
36,419    0,000504784809891135    326,443908691406
36,508    0,000493643339723349    321,947631835938
36,596    0,000493643339723349    321,947631835938
36,684    0,000482382602058351    317,530395507813
36,772    0,000482382602058351    317,530395507813
36,861    0,000471201521577314    313,034118652344
36,949    0,000471201521577314    313,034118652344
37,037    0,000459901202702895    308,537872314453
37,125    0,000459901202702895    308,537872314453
37,214    0,000459901202702895    308,537872314453
37,302    0,000448878476163372    304,041595458984
37,39    0,000448878476163372    304,041595458984
37,479    0,000438371411291882    299,624084472656
37,567    0,000438371411291882    299,624084472656
37,655    0,000428102328442037    295,127838134766
37,744    0,000428102328442037    295,127838134766
37,832    0,000417832779930905    290,710571289063
37,92    0,000417832779930905    290,710571289063
38,008    0,000407286104746163    286,214324951172
38,097    0,000407286104746163    286,214324951172
38,185    0,000397056137444451    281,796813964844
38,273    0,000397056137444451    281,796813964844
38,361    0,000387461041100323    277,300567626953
38,45    0,000387461041100323    277,300567626953
38,538    0,000378143595298752    272,88330078125
38,626    0,000378143595298752    272,88330078125
38,714    0,000369024055544287    268,465789794922
38,803    0,000369024055544287    268,465789794922
38,891    0,000360063364496455    264,048553466797
38,979    0,000360063364496455    264,048553466797
39,068    0,000360063364496455    264,048553466797
39,156    0,000351261027390137    259,552307128906
39,244    0,000351261027390137    259,552307128906
39,332    0,000342260231263936    255,134780883789
39,421    0,000342260231263936    255,134780883789
39,509    0,000333220377797261    250,717529296875
39,598    0,000333220377797261    250,717529296875
39,686    0,000324418040690944    246,300277709961
39,775    0,000324418040690944    246,300277709961
39,863    0,000315536541165784    241,882766723633
39,952    0,000315536541165784    241,882766723633
40,04    0,0003068930527661    237,465515136719
40,129    0,0003068930527661    237,465515136719
40,217    0,000298487080726773    233,048004150391
40,305    0,000298487080726773    233,048004150391
40,394    0,000290121184661984    228,630752563477
40,482    0,000290121184661984    228,630752563477
40,571    0,000281873566564173    224,213241577148
40,659    0,000281873566564173    224,213241577148
40,748    0,000273586862022057    219,795989990234
40,837    0,000273586862022057    219,795989990234
40,925    0,000265260576270521    215,378479003906
41,014    0,000265260576270521    215,378479003906
41,102    0,000265260576270521    215,378479003906
41,19    0,000256854604231194    211,039978027344
41,279    0,000256854604231194    211,039978027344
41,367    0,000248329888563603    206,62272644043
41,456    0,000248329888563603    206,62272644043
41,545    0,00023972598137334    202,205215454102
41,633    0,00023972598137334    202,205215454102
41,722    0,000230923629715107    197,787963867188
41,81    0,000230923629715107    197,787963867188
41,899    0,000221923357457854    193,370452880859
41,987    0,000221923357457854    193,370452880859
42,076    0,000212803832255304    188,953201293945
42,164    0,000212803832255304    188,953201293945
42,253    0,000203486357349902    184,614700317383
42,341    0,000203486357349902    184,614700317383
42,43    0,000193454819964245    180,197189331055
42,518    0,000193454819964245    180,197189331055
42,607    0,000182788877282292    175,858947753906
42,695    0,000182788877282292    175,858947753906
42,784    0,000171330204466358    171,441436767578
42,872    0,000171330204466358    171,441436767578
42,96    0,000171330204466358    171,441436767578
43,049    0,000171330204466358    171,441436767578
43,137    0,000171330204466358    171,441436767578
43,226    0,000145280486322008    162,606674194336
43,314    0,000145280486322008    162,606674194336
43,403    0,000130768588860519    158,268173217773
43,491    0,000130768588860519    158,268173217773
43,579    0,000114987924462184    153,850921630859
43,668    0,000114987924462184    153,850921630859
43,756    9,75816801656038E-5    149,512420654297
43,844    9,75816801656038E-5    149,512420654297
43,933    7,87878962000832E-5    145,094909667969
44,021    7,87878962000832E-5    145,094909667969
44,11    5,8209687267663E-5    140,756408691406
44,198    5,8209687267663E-5    140,756408691406
44,286    3,53314171661623E-5    136,339157104492
44,375    3,53314171661623E-5    136,339157104492
44,463    1,02332787719206E-5    132,00065612793
44,551    1,02332787719206E-5    132,00065612793
44,64    -1,74024353327695E-5    127,583145141602
44,729    -1,74024353327695E-5    127,583145141602
44,817    -4,7972600441426E-5    123,244644165039
44,905    -4,7972600441426E-5    123,244644165039
44,994    -4,7972600441426E-5    123,244644165039
45,083    -8,15162929939106E-5    118,827392578125
45,171    -8,15162929939106E-5    118,827392578125
45,259    -0,00011827154958155    114,488883972168
